Location,Crime_Type,Time,DateOccurred,Investigation Status,CrimeCode,Comments
CHANAKYAPURI,robbery,10:55,2020-01-06,Under Investigation,C6390,Missing information
RANI BAGH,theft,23:47,2020-03-24,Under Investigation,C2898,-
BURARI,robbery,02:38,2019-08-29,Open,C6724,-
ROOP NAGAR,robbery,12:26,2020-01-05,Closed,C1450,-
KRISHNA NAGAR,murder,08:02,2020-06-07,Unknown,Unknown,Missing information
PARLIAMENT STREET,murder,15:57,2019-10-25,Unknown,C2548,Missing information
GEETA COLONY,murder,04:54,2019-08-29,Open,C4788,-
NEW ASHOK NAGAR,gangrape,09:24,2020-06-09,Open,C9922,-
ANAND PARBAT,theft,11:55,2019-07-17,Closed,C4441,-
KOTALA MUBARAK PUR,assualt murders,06:28,2020-06-12,Open,C7248,-
VASANT KUNJ SOUTH,sexual harassement,20:11,2020-03-12,Under Investigation,C3055,-
ASHOK VIHAR,murder,02:49,2019-12-28,Open,C2071,-
CIVIL LINES,murder,15:05,2020-03-12,Closed,C1613,-
MOTI NAGAR,robbery,21:32,2019-11-04,Under Investigation,C8782,-
HARSH VIHAR,gangrape,16:25,2019-10-03,Under Investigation,C8966,-
PANDAV NAGAR,assualt murders,11:44,2019-09-15,Open,C2031,-
SHAKARPUR,gangrape,21:27,2019-07-17,Under Investigation,C9088,-
KESHAV PURAM,sexual harassement,19:50,2019-10-03,Unknown,C5907,Missing information
NIHAL VIHAR,murder,11:49,2019-09-14,Open,C5563,-
KAMLA MARKET,gangrape,20:58,2019-11-24,Open,C2397,-
KN KATJU MARG,sexual harassement,06:00,2020-03-23,Open,C7313,-
DABRI,gangrape,08:52,2020-01-04,Unknown,Unknown,Missing information
RANHOLA,murder,02:34,2020-03-30,Under Investigation,C8240,Missing information
BAWANA,assualt murders,16:51,2019-11-24,Under Investigation,C5126,-
ROOP NAGAR,assualt murders,04:50,2019-11-17,Under Investigation,C8243,-
SOUTH CAMPUS,murder,01:18,2019-12-18,Open,C9466,-
SAGARPUR,gangrape,06:22,2019-08-20,Open,C8353,-
MIANWALI NAGAR,sexual harassement,22:08,2020-03-29,Unknown,Unknown,Missing information
KESHAV PURAM,rape,01:36,2020-05-19,Closed,C7025,-
MUKHERJI NAGAR,rape,00:31,2020-01-29,Open,C3930,-
BADAR PUR,rape,00:38,2020-05-01,Under Investigation,C5710,-
SHAKARPUR,robbery,00:28,2019-12-19,Unknown,C9131,Missing information
BURARI,sexual harassement,02:43,2019-07-19,Under Investigation,C3951,-
SUBZIMANDI,robbery,10:12,2019-12-10,Unknown,Unknown,Missing information
MAYURVIHAR,gangrape,02:31,2019-07-15,Unknown,Unknown,Missing information
JYOTI NAGAR,theft,21:16,2020-04-19,Open,C9888,-
MAYURVIHAR,rape,07:38,2020-05-02,Open,C8620,-
NARELA,rape,04:36,2020-03-14,Under Investigation,C1797,-
OKHLA,rape,11:06,2019-08-01,Closed,Unknown,Missing information
NARELA,robbery,21:33,2020-02-25,Under Investigation,C7742,-
GEETA COLONY,gangrape,16:03,2020-04-20,Open,C7606,-
MADHUVIHAR,theft,07:55,2019-11-22,Open,C2297,-
MAYURVIHAR,murder,01:11,2020-03-14,Unknown,C8057,Missing information
NEB SARAI,theft,08:16,2019-11-13,Open,C6722,-
GOVIND PURI,theft,14:55,2020-06-03,Closed,C3615,-
JANAK PURI,assualt murders,03:19,2020-04-25,Under Investigation,C3919,-
DWARKA SEC-23,sexual harassement,06:16,2019-07-28,Closed,C1894,-
DELHI CANTT,gangrape,04:18,2019-11-05,Unknown,Unknown,Missing information
MUKHERJI NAGAR,sexual harassement,13:46,2020-06-18,Closed,C5939,-
NARELA,gangrape,04:54,2020-03-23,Closed,C4662,-
PARSHAD NAGAR,theft,14:51,2019-10-04,Closed,C5651,-
DWARKA NORTH,gangrape,07:07,2019-10-30,Closed,C1022,-
BHALSWA DAIRY,rape,07:37,2019-10-28,Unknown,C6207,Missing information
SHALIMAR BAGH,rape,16:52,2019-11-30,Under Investigation,C9790,-
BINDAPUR,theft,02:13,2019-12-16,Under Investigation,C3119,-
SARITA VIHAR,murder,09:56,2020-04-26,Under Investigation,C9718,-
GULABIBAGH,rape,14:21,2020-02-12,Under Investigation,C3847,-
FATEHPUR BERI,murder,22:04,2019-09-29,Open,C8962,-
MAURICE NAGAR,gangrape,12:14,2020-05-04,Closed,C8368,-
KASHMERE GATE,rape,20:42,2020-05-29,Closed,C7750,-
MEHRAULI,theft,06:52,2019-11-27,Open,C4250,-
PARLIAMENT STREET,sexual harassement,13:11,2019-07-31,Open,C6474,-
SAFDARJUNG ENCLAVE,robbery,21:48,2020-05-10,Closed,C5931,-
JANAK PURI,rape,13:58,2019-07-26,Open,C1717,-
MANDAWALI,robbery,23:59,2019-06-24,Closed,C3232,Missing information
CONNAUGHT PLACE,murder,01:42,2020-05-03,Open,C8097,-
KAMLA MARKET,assualt murders,04:36,2019-09-20,Unknown,Unknown,Missing information
BHAJANPURI,robbery,04:37,2019-08-22,Open,C6172,-
PRASHANT VIHAR,sexual harassement,19:47,2020-05-16,Closed,C9172,-
HAUZ KHAS,theft,07:32,2020-05-16,Closed,C8063,-
JAHANGIR PURI,theft,04:44,2020-02-11,Closed,C9539,-
SEEMAPURI,theft,04:01,2020-06-16,Unknown,Unknown,Missing information
KASHMERE GATE,murder,05:01,2019-08-10,Open,Unknown,Missing information
HARSH VIHAR,theft,17:06,2019-08-22,Closed,C8775,-
DWARKA SOUTH,robbery,15:20,2020-02-25,Closed,C2402,-
NANDNAGARI,robbery,06:23,2020-05-16,Closed,C6261,-
ANAND PARBAT,murder,03:18,2019-12-21,Under Investigation,C3561,Missing information
CHANDNI MAHAL,robbery,01:13,2020-01-20,Open,C9873,-
DWARKA SEC-23,rape,15:43,2019-07-29,Open,Unknown,Missing information
SUNLIGHT COLONY,murder,22:59,2019-10-30,Closed,C3503,-
NEW USMANPUR,rape,23:12,2019-11-01,Closed,C8946,-
KAPASHERA,theft,00:13,2019-11-04,Closed,C2777,-
JAMIA NAGAR,sexual harassement,23:03,2020-02-07,Open,C1819,-
SWARUP NAGAR,assualt murders,04:43,2019-11-08,Open,C5032,-
SAMAYPURBADLI,theft,20:06,2019-12-25,Under Investigation,C2640,-
PATEL NAGAR,assualt murders,06:33,2019-09-08,Unknown,C2137,Missing information
SHAHDARA,theft,15:05,2020-05-31,Closed,C4030,-
MEHRAULI,gangrape,08:46,2019-10-16,Closed,C2399,Missing information
MANSAROVAR PARK,rape,23:45,2020-03-14,Under Investigation,C2067,-
DABRI,sexual harassement,11:00,2020-05-12,Under Investigation,C3589,-
MEHRAULI,robbery,18:39,2019-07-06,Open,C3306,-
KN KATJU MARG,murder,16:20,2020-03-22,Unknown,Unknown,Missing information
SARITA VIHAR,gangrape,20:22,2020-05-15,Open,C2659,-
H. N. DIN,sexual harassement,18:54,2019-12-30,Unknown,Unknown,Missing information
VASANT KUNJ SOUTH,robbery,06:00,2019-10-11,Under Investigation,C1161,-
VASANT KUNJ SOUTH,sexual harassement,18:25,2019-10-03,Open,C2065,-
BARA HINDU RAO,rape,13:08,2019-11-07,Open,C8792,-
KAROL BAGH,robbery,21:05,2019-11-03,Under Investigation,C3824,-
HAUZQAZI,rape,04:39,2020-06-17,Closed,C6299,-
SAGARPUR,rape,04:23,2019-12-28,Closed,C3393,-
SUNLIGHT COLONY,theft,06:18,2020-03-22,Unknown,C9874,Missing information
KN KATJU MARG,theft,02:57,2019-12-24,Open,Unknown,Missing information
NIHAL VIHAR,gangrape,21:30,2019-12-25,Open,C8557,-
DWARKA SOUTH,sexual harassement,03:31,2020-05-21,Open,C7597,-
RAJOURI GARDEN,theft,23:10,2020-03-20,Closed,C5678,-
DWARKA SOUTH,gangrape,20:09,2019-07-14,Closed,C4671,-
HAUZ KHAS,assualt murders,23:30,2020-03-16,Under Investigation,C8944,-
SAMAYPURBADLI,gangrape,03:16,2019-09-07,Closed,C8261,-
ADRASH NAGAR,theft,17:41,2019-12-06,Open,C5328,-
JAFFARPUR KALAN,assualt murders,15:09,2019-07-15,Closed,C2309,-
DABRI,sexual harassement,18:30,2020-04-03,Closed,C9434,Missing information
SONIA VIHAR,gangrape,19:10,2019-08-23,Open,C9846,Missing information
G.T.B. ENCLAVE,assualt murders,04:10,2020-02-06,Under Investigation,C3394,-
GHAZIPUR,murder,02:58,2020-06-03,Under Investigation,C7220,-
PRASHANT VIHAR,murder,10:22,2019-08-04,Open,C6924,-
AMAR COLONY,sexual harassement,04:08,2020-01-14,Under Investigation,C9916,Missing information
JAMIA NAGAR,rape,16:50,2020-04-21,Open,C7336,-
SUBHASH PLACE,murder,05:35,2020-04-12,Open,C5384,-
DWARKA SEC-23,murder,08:44,2020-03-04,Open,C3332,-
SONIA VIHAR,assualt murders,13:02,2019-09-20,Open,C9931,-
KN KATJU MARG,robbery,05:59,2020-05-12,Closed,C2615,-
BAWANA,robbery,00:49,2020-06-16,Under Investigation,C8309,-
NEB SARAI,robbery,15:16,2020-04-15,Open,C4320,-
MODEL TOWN,murder,19:21,2019-11-10,Closed,C3245,-
RANI BAGH,assualt murders,13:06,2020-01-22,Unknown,Unknown,Missing information
SAKET,theft,03:34,2019-10-17,Under Investigation,C9863,-
GANDHI NAGAR,rape,20:17,2019-11-09,Closed,C5626,Missing information
CIVIL LINES,rape,10:53,2019-09-23,Under Investigation,C7873,-
H. N. DIN,gangrape,16:09,2020-03-10,Under Investigation,C9632,-
CHHAWLA,assualt murders,23:19,2019-09-26,Closed,C5359,-
SAGARPUR,rape,10:00,2019-12-16,Open,C1326,-
I.P. ESTATE,rape,01:22,2019-06-22,Closed,C8455,-
BHALSWA DAIRY,robbery,12:40,2019-09-10,Under Investigation,C5572,-
SAMAYPURBADLI,assualt murders,15:36,2019-07-14,Open,C5752,-
DWARKA SEC-23,sexual harassement,05:25,2020-01-02,Open,C7201,-
GOKULPURI,gangrape,00:21,2019-11-20,Under Investigation,C7318,-
FATEHPUR BERI,robbery,17:19,2020-04-10,Closed,C9703,-
KALKAJI,theft,09:48,2019-09-16,Open,C3108,-
LAHORI GATE,robbery,01:32,2019-11-10,Open,Unknown,Missing information
GREATER KAILASH,sexual harassement,16:04,2019-07-06,Open,C7478,-
WELCOME,murder,07:59,2020-04-20,Open,C9799,-
MAURYA ENCLAVE,rape,16:33,2019-06-29,Unknown,Unknown,Missing information
KALYANPURI,assualt murders,20:55,2019-11-02,Closed,C9450,-
BHAJANPURI,robbery,09:35,2019-12-06,Under Investigation,C6975,-
NARAINA,assualt murders,10:21,2020-06-18,Unknown,Unknown,Missing information
BABA HARI DAS NAGAR,murder,20:10,2019-12-16,Under Investigation,C9009,Missing information
KALKAJI,sexual harassement,12:45,2020-06-13,Closed,C9275,-
MEHRAULI,gangrape,16:43,2020-05-19,Under Investigation,C7450,Missing information
MAURYA ENCLAVE,murder,21:08,2020-03-10,Under Investigation,C5158,-
TIMARPUR,robbery,18:45,2020-06-20,Open,C4244,-
SUBHASH PLACE,murder,09:16,2020-04-29,Unknown,Unknown,Missing information
SONIA VIHAR,theft,06:34,2019-11-15,Under Investigation,C4932,-
NANDNAGARI,murder,09:23,2019-12-05,Under Investigation,C6329,-
MAYURVIHAR,rape,10:44,2019-07-25,Unknown,Unknown,Missing information
MAYA PURI,sexual harassement,22:11,2020-01-11,Open,C4283,-
SANGAM VIHAR,theft,19:58,2020-03-02,Open,C4968,-
FATEHPUR BERI,assualt murders,02:31,2019-10-06,Closed,C7162,-
JAFFARPUR KALAN,theft,04:55,2020-03-19,Closed,C4975,-
ROHINI NORTH,robbery,06:00,2019-12-23,Open,C8224,-
NANDNAGARI,sexual harassement,17:32,2019-09-20,Open,C4138,-
CHHAWLA,rape,09:46,2020-01-02,Under Investigation,C3170,Missing information
MANGOLPURI,gangrape,05:11,2020-03-27,Under Investigation,C9577,-
GULABIBAGH,rape,20:48,2020-01-06,Closed,C1750,-
RAJOURI GARDEN,sexual harassement,08:35,2020-04-09,Under Investigation,C9085,-
DEFENCE COLONY,assualt murders,11:51,2020-01-06,Under Investigation,C8950,-
KHAJURIKHAS,rape,04:35,2020-04-06,Closed,C4519,-
MAYURVIHAR,assualt murders,23:36,2019-06-25,Open,C7522,-
MAURICE NAGAR,robbery,22:04,2019-12-19,Under Investigation,C2698,-
SAGARPUR,sexual harassement,15:50,2020-02-02,Open,C7785,-
SONIA VIHAR,theft,02:31,2019-08-05,Under Investigation,C2457,-
KOTALA MUBARAK PUR,murder,02:14,2020-02-14,Closed,C6563,-
CHANAKYAPURI,gangrape,06:30,2020-02-19,Open,C8661,-
DWARKA SEC-23,murder,03:41,2020-03-22,Under Investigation,C9057,-
SAKET,assualt murders,08:56,2019-09-08,Open,C9445,-
JANAK PURI,assualt murders,13:02,2020-06-20,Open,C9529,-
MUNDKA,robbery,12:38,2019-08-08,Unknown,C7995,Missing information
JYOTI NAGAR,gangrape,09:11,2019-11-22,Closed,C9952,-
DWARKA NORTH,theft,02:07,2019-09-22,Open,C9858,-
ANANDVIHAR,theft,16:13,2019-08-26,Unknown,Unknown,Missing information
MAURYA ENCLAVE,sexual harassement,02:55,2020-02-14,Closed,C6579,-
SOUTH CAMPUS,theft,14:17,2020-05-30,Open,C9114,-
KALKAJI,gangrape,02:43,2020-05-11,Under Investigation,C2103,-
UTTAM NAGAR,assualt murders,03:05,2019-10-30,Under Investigation,C9428,-
KOTALA MUBARAK PUR,sexual harassement,14:15,2019-08-06,Unknown,Unknown,Missing information
KANJHAWALA,rape,00:41,2019-10-26,Under Investigation,C6451,-
NANGLOI,gangrape,02:01,2020-05-14,Under Investigation,C5096,-
RANJIT NAGAR,murder,17:16,2020-05-23,Open,C9574,-
PANDAV NAGAR,rape,09:01,2020-05-17,Open,C4029,-
PATEL NAGAR,theft,05:22,2020-04-19,Under Investigation,C3252,-
SUBHASH PLACE,robbery,19:41,2019-10-13,Closed,C3270,-
VASANT KUNJ SOUTH,assualt murders,16:33,2019-12-28,Under Investigation,C9582,-
DWARKA SEC-23,murder,11:23,2020-04-22,Open,C1117,-
ROHINI NORTH,murder,21:17,2020-01-02,Unknown,Unknown,Missing information
ROOP NAGAR,sexual harassement,00:30,2020-02-28,Under Investigation,C8542,-
WELCOME,rape,14:08,2020-03-19,Under Investigation,C7526,-
KHYALA,rape,14:24,2019-09-14,Under Investigation,C4987,Missing information
SHAHDARA,gangrape,12:08,2020-02-01,Open,C3099,-
KANJHAWALA,theft,10:09,2020-04-09,Open,C7930,-
KALKAJI,assualt murders,07:52,2020-01-17,Under Investigation,C5047,-
KALKAJI,murder,15:20,2019-07-07,Under Investigation,Unknown,Missing information
DARYA GANJ,theft,01:03,2019-10-03,Under Investigation,C7574,-
SAROJINI NAGAR,theft,08:01,2019-12-04,Under Investigation,C8489,-
MAURICE NAGAR,assualt murders,13:44,2020-06-19,Open,C1320,-
CIVIL LINES,robbery,16:16,2019-11-06,Under Investigation,C8884,-
SAMAYPURBADLI,rape,08:41,2019-09-16,Closed,C8411,-
KAROL BAGH,robbery,22:07,2019-12-20,Open,C3748,-
CIVIL LINES,murder,04:59,2019-11-25,Open,C5474,-
CHITRANJAN PARK,rape,10:50,2019-07-08,Under Investigation,C7484,Missing information
GEETA COLONY,sexual harassement,12:11,2019-10-13,Closed,Unknown,Missing information
NANDNAGARI,gangrape,06:47,2020-06-14,Under Investigation,C3635,-
MUKHERJI NAGAR,assualt murders,22:33,2020-06-20,Under Investigation,C8526,-
H. N. DIN,gangrape,03:49,2020-03-31,Under Investigation,C2095,-
BABA HARI DAS NAGAR,gangrape,00:34,2019-09-26,Open,C9919,-
I.P. ESTATE,gangrape,18:31,2019-07-29,Closed,C2924,Missing information
GHAZIPUR,rape,03:22,2020-03-31,Under Investigation,C7965,-
JANAK PURI,murder,00:13,2020-02-29,Unknown,C1929,Missing information
LAHORI GATE,sexual harassement,01:05,2019-12-02,Unknown,Unknown,Missing information
MAYURVIHAR,rape,19:54,2019-10-06,Under Investigation,C6747,-
RAJOURI GARDEN,murder,06:16,2019-12-15,Open,C1855,-
SEELAMPUR,assualt murders,16:50,2019-07-12,Open,C7354,-
TUGLAK ROAD,murder,03:31,2020-05-13,Closed,C9535,Missing information
SANGAM VIHAR,murder,16:37,2019-06-27,Under Investigation,C5341,-
JANAK PURI,assualt murders,13:34,2019-12-03,Under Investigation,C9579,Missing information
TIMARPUR,theft,07:03,2019-10-08,Closed,C8326,-
SAFDARJUNG ENCLAVE,robbery,08:34,2019-09-28,Under Investigation,C4998,-
KAROL BAGH,robbery,11:34,2020-02-22,Closed,C4813,-
SHAHDARA,murder,15:16,2019-11-14,Open,C2431,Missing information
KHYALA,murder,03:19,2019-10-20,Under Investigation,C7144,-
DARYA GANJ,murder,03:18,2020-04-27,Open,C6675,-
MODEL TOWN,robbery,13:05,2019-11-06,Under Investigation,C7889,-
NARAINA,theft,17:44,2020-02-18,Open,C3950,-
SHAHBAD DAIRY,theft,02:08,2019-07-09,Open,C3870,-
TUGLAK ROAD,gangrape,08:49,2019-12-03,Under Investigation,C7466,-
MIANWALI NAGAR,robbery,23:45,2020-06-07,Under Investigation,C4839,-
KALYANPURI,gangrape,11:23,2020-02-23,Open,C2089,-
BHAJANPURI,assualt murders,18:05,2019-09-15,Under Investigation,C6356,-
GANDHI NAGAR,rape,23:30,2019-12-14,Open,C3149,-
MAURICE NAGAR,gangrape,14:43,2020-05-03,Under Investigation,C3131,-
NABI KARIM,theft,00:06,2020-01-28,Under Investigation,C2669,-
ANANDVIHAR,robbery,18:56,2019-09-15,Open,C6979,-
NARAINA,gangrape,15:54,2019-06-30,Open,C7264,Missing information
MAURYA ENCLAVE,assualt murders,08:09,2019-09-03,Unknown,Unknown,Missing information
KASHMERE GATE,rape,17:45,2019-06-27,Closed,Unknown,Missing information
PULPRAHLAD PUR,assualt murders,23:40,2020-03-13,Open,C6241,-
NEW ASHOK NAGAR,theft,13:56,2020-01-28,Open,C6244,-
NANGLOI,robbery,13:43,2019-07-29,Open,C4629,-
GREATER KAILASH,gangrape,21:06,2020-06-05,Open,C3965,-
HARI NAGAR,gangrape,21:25,2019-07-15,Under Investigation,C7225,-
SHAKARPUR,theft,18:19,2020-05-21,Open,C6942,-
VIJAY VIHAR,rape,00:23,2020-01-16,Unknown,Unknown,Missing information
TUGLAK ROAD,assualt murders,08:54,2020-02-29,Unknown,C9950,Missing information
SUBZIMANDI,gangrape,17:08,2019-07-13,Unknown,C2986,Missing information
MAYURVIHAR,theft,10:52,2020-02-19,Under Investigation,C1819,-
KAMLA MARKET,gangrape,21:09,2019-09-05,Closed,C1177,-
SADAR BAZAR,robbery,17:07,2019-12-17,Closed,C8895,-
PANDAV NAGAR,robbery,03:51,2019-12-20,Under Investigation,C5144,-
MALVIYA NAGAR,assualt murders,04:54,2020-03-16,Under Investigation,C9208,-
MAURYA ENCLAVE,rape,07:00,2019-07-05,Open,C4016,-
MAURYA ENCLAVE,theft,18:28,2019-08-12,Under Investigation,C2194,-
MAURYA ENCLAVE,robbery,20:31,2019-09-11,Closed,C2158,-
BINDAPUR,robbery,02:06,2020-06-07,Closed,C8471,-
MAYURVIHAR,assualt murders,15:52,2020-04-27,Unknown,Unknown,Missing information
KN KATJU MARG,gangrape,16:25,2020-03-22,Closed,C1614,-
UTTAM NAGAR,gangrape,14:02,2019-11-29,Open,C7379,-
BARAKHAMBA ROAD,rape,16:55,2020-05-24,Under Investigation,C6602,-
BADAR PUR,rape,02:44,2020-01-25,Closed,C4175,-
PASCHIM VIHAR,murder,08:25,2020-01-24,Open,C6497,-
MODEL TOWN,robbery,12:33,2019-11-05,Under Investigation,C2006,-
DARYA GANJ,assualt murders,02:41,2020-04-19,Open,C2303,-
INDERPURI,murder,05:23,2019-11-13,Unknown,Unknown,Missing information
KAPASHERA,assualt murders,05:56,2020-01-23,Under Investigation,C6586,-
WELCOME,sexual harassement,12:59,2020-06-07,Under Investigation,C3413,-
SONIA VIHAR,rape,20:51,2019-10-10,Closed,C1721,-
SEELAMPUR,robbery,06:26,2019-12-21,Closed,C3725,-
INDERPURI,assualt murders,11:10,2019-12-24,Closed,C2130,-
DELHI CANTT,murder,08:29,2020-04-27,Under Investigation,C6271,-
RANI BAGH,assualt murders,13:13,2020-05-21,Closed,C9996,Missing information
SUBZIMANDI,sexual harassement,02:46,2019-10-10,Closed,C3407,-
ROOP NAGAR,murder,00:39,2019-12-04,Closed,C1682,-
SANGAM VIHAR,murder,21:06,2019-10-31,Under Investigation,C6335,-
INDERPURI,sexual harassement,04:10,2019-12-17,Closed,C9814,-
